GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,0,0,2646,3141,0,-2601,460552.2,174.056009,0,0,0,0,5.32094595,A,A,Group Association- A,A / A,0,0,0,0,-2601,2646,3141,460552.2,0,0,0,174.056009,0,0,5.32094595
C,C,C,Group Corporate - C,0,0,0,0,2243,2404,0,0,369777,164.858226,0,0,0,0,4.51053732,C,C,Corporate Group - C,C / C,0,0,0,0,0,2243,2404,369777,0,0,0,164.858226,0,0,4.51053732
D,D,D,Discounts - D,23,30,252,466,5798,9905,2928.9,29185.27,799858.56,137.954219,115.814563,127.343478,8.88030888,9.72972973,11.6594273,D,D,Discounts - D,D / D,23,2928.9,252,466,29185.27,5798,9905,799858.56,30,127.343478,115.814563,137.954219,8.88030888,9.72972973,11.6594273
E,E,E,Consortium - E,2,2,14,14,532,548,271.5,1901,101127.65,190.089568,135.785714,135.75,.772200772,.540540541,1.06981982,E,E,Consortium - E,E / E,2,271.5,14,14,1901,532,548,101127.65,2,135.75,135.785714,190.089568,.772200772,.540540541,1.06981982
G,G,G,Rack - G,1,1,80,166,2598,3465,160,9728.55,503328.75,193.737009,121.606875,160,.386100386,3.08880309,5.22442085,G,G,Rack - G,G / G,1,160,80,166,9728.55,2598,3465,503328.75,1,160,121.606875,193.737009,.386100386,3.08880309,5.22442085
H,H,H,House Use - H,0,0,1,1,1,1,0,-1982.84,7632.6,7632.6,-1982.84,0,0,.038610039,.002010940,H,H,House Use - H,H / H,0,0,1,1,-1982.84,1,1,7632.6,0,0,-1982.84,7632.6,0,.038610039,.002010940
K,K,K,Package - K,0,0,13,25,666,1070,0,2000,121268.74,182.085195,153.846154,0,0,.501930502,1.33928571,K,K,Package - K,K / K,0,0,13,25,2000,666,1070,121268.74,0,0,153.846154,182.085195,0,.501930502,1.33928571
L,L,L,Local Corporate - L,0,0,0,0,366,372,0,0,58074.8,158.674317,0,0,0,0,.736003861,L,L,Local Corporate- L,L / L,0,0,0,0,0,366,372,58074.8,0,0,0,158.674317,0,0,.736003861
M,M,M,Government/Military - M,1,1,5,5,811,963,131,685,114652,141.371147,137,131,.386100386,.193050193,1.63087194,M,M,Government/Military - M,M / M,1,131,5,5,685,811,963,114652,1,131,137,141.371147,.386100386,.193050193,1.63087194
N,N,N,Complimentary - N,5,5,69,69,1159,1457,0,224,811.11,.699836066,3.24637681,0,1.93050193,2.66409266,2.33067889,N,N,Complimentary - N,N / N,5,0,69,69,224,1159,1457,811.11,5,0,3.24637681,.699836066,1.93050193,2.66409266,2.33067889
