GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,23,23,2669,3164,0,2507,461269.2,172.824728,109,0,0,.634307777,4.53965608,A,A,Group Association- A,A / A,0,0,23,23,2507,2669,3164,461269.2,0,0,109,172.824728,0,.634307777,4.53965608
C,C,C,Group Corporate - C,0,0,111,111,2354,2515,0,13748,383525,162.924809,123.855856,0,0,3.06122449,4.00387801,C,C,Corporate Group - C,C / C,0,0,111,111,13748,2354,2515,383525,0,0,123.855856,162.924809,0,3.06122449,4.00387801
D,D,D,Discounts - D,15,22,470,926,7646,13415,2192.8,57814.07,1020056.1,133.410424,123.008660,146.186667,5.79150579,12.9619415,13.0049496,D,D,Discounts - D,D / D,15,2192.8,470,926,57814.07,7646,13415,1020056.1,22,146.186667,123.008660,133.410424,5.79150579,12.9619415,13.0049496
E,E,E,Consortium - E,2,2,62,62,672,688,306,8976.25,120558.15,179.402009,144.778226,153,.772200772,1.70987314,1.14299321,E,E,Consortium - E,E / E,2,306,62,62,8976.25,672,688,120558.15,2,153,144.778226,179.402009,.772200772,1.70987314,1.14299321
G,G,G,Rack - G,4,13,119,229,2825,3834,481.5,16450.5,535410.25,189.525752,138.239496,120.375,1.54440154,3.28185328,4.80499379,G,G,Rack - G,G / G,4,481.5,119,229,16450.5,2825,3834,535410.25,13,120.375,138.239496,189.525752,1.54440154,3.28185328,4.80499379
H,H,H,House Use - H,0,0,0,0,1,1,0,-392.87,6839.02,6839.02,0,0,0,0,.001700883,H,H,House Use - H,H / H,0,0,0,0,-392.87,1,1,6839.02,0,0,0,6839.02,0,0,.001700883
K,K,K,Package - K,0,0,13,29,711,1151,0,1870,127864.74,179.837890,143.846154,0,0,.358521787,1.20932764,K,K,Package - K,K / K,0,0,13,29,1870,711,1151,127864.74,0,0,143.846154,179.837890,0,.358521787,1.20932764
L,L,L,Local Corporate - L,0,0,7,7,385,391,0,1001.5,61039.09,158.543091,143.071429,0,0,.193050193,.654839862,L,L,Local Corporate- L,L / L,0,0,7,7,1001.5,385,391,61039.09,0,0,143.071429,158.543091,0,.193050193,.654839862
M,M,M,Government/Military - M,3,4,34,37,903,1063,403,4613,126917,140.550388,135.676471,134.333333,1.15830116,.937672366,1.53589713,M,M,Government/Military - M,M / M,3,403,34,37,4613,903,1063,126917,4,134.333333,135.676471,140.550388,1.15830116,.937672366,1.53589713
N,N,N,Complimentary - N,2,2,32,33,1239,1538,0,0,811.11,.654648910,0,0,.772200772,.882515168,2.10739374,N,N,Complimentary - N,N / N,2,0,32,33,0,1239,1538,811.11,2,0,0,.654648910,.772200772,.882515168,2.10739374
