GRP_SORT_ORDER,GRP1_CODE_DESC,PARENT_MARKET_CODE,MARKET_GROUP_DESCRIPTION,PM_DAY_ROOM,PM_DAY_PERSON,PM_MONTH_ROOM,PM_MONTH_PERSON,PM_YEAR_ROOM,PM_YEAR_PRS,PM_DAY_CREV,PM_MONTH_CREV,PM_YEAR_CREV,PM_YEAR_ARR,PM_MONTH_ARR,PM_DAY_ARR,PM_DAY_PER_OCC,PM_MTD_PER_OCC,PM_YTD_PER_OCC,GRP2_CODE,SUB_GRP_CODE_DESC,DESCRIPTION,GRAPH_X_CODE,ROOMS_DAY,ROOM_REV_DAY,ROOMS_MTD,GUEST_MTD,ROOM_REV_MTD,ROOMS_YTD,GUEST_YTD,ROOM_REV_YTD,GUEST_DAY,ADR_DAY,ADR_MTD,ADR_YTD,PER_OCC_DAY,PER_OCC_MTD,PER_OCC_YTD
A,A,A,Group Association - A,0,0,21,23,3895,4524,0,1450,678017.26,174.073751,69.0476190,0,0,.426742532,4.24819493,A,A,Group Association- A,A / A,0,0,21,23,1450,3895,4524,678017.26,0,0,69.0476190,174.073751,0,.426742532,4.24819493
C,C,C,Group Corporate - C,0,0,71,72,3381,3560,0,10139,547535,161.944691,142.802817,0,0,1.44279618,3.68758589,C,C,Corporate Group - C,C / C,0,0,71,72,10139,3381,3560,547535,0,0,142.802817,161.944691,0,1.44279618,3.68758589
D,D,D,Discounts - D,21,42,1009,1869,13678,24177,1959.4,117782.230,1789213.47,130.809583,116.731645,93.3047619,8.10810811,20.5039626,14.9183081,D,D,Discounts - D,D / D,21,1959.4,1009,1869,117782.230256410256,13678,24177,1789213.470256410256,42,93.3047619,116.731645,130.809583,8.10810811,20.5039626,14.9183081
E,E,E,Consortium - E,3,3,77,83,1206,1238,333.5,12004.5,210248.6,174.335489,155.902597,111.166667,1.15830116,1.56472262,1.31535894,E,E,Consortium - E,E / E,3,333.5,77,83,12004.5,1206,1238,210248.6,3,111.166667,155.902597,174.335489,1.15830116,1.56472262,1.31535894
G,G,G,Rack - G,4,5,171,214,4013,5351,535,25741.24,735210.63,183.207234,150.533567,133.75,1.54440154,3.47490347,4.37689505,G,G,Rack - G,G / G,4,535,171,214,25741.24,4013,5351,735210.63,5,133.75,150.533567,183.207234,1.54440154,3.47490347,4.37689505
H,H,H,House Use - H,0,0,0,0,1,1,0,1326.75,14050.08,14050.08,0,0,0,0,.001090679,H,H,House Use - H,H / H,0,0,0,0,1326.75,1,1,14050.08,0,0,0,14050.08,0,0,.001090679
K,K,K,Package - K,0,0,47,87,941,1552,0,7960,167846.74,178.370606,169.361702,0,0,.955090429,1.02632899,K,K,Package - K,K / K,0,0,47,87,7960,941,1552,167846.74,0,0,169.361702,178.370606,0,.955090429,1.02632899
L,L,L,Local Corporate - L,0,0,26,26,556,563,0,4004.25,87947.9,158.179676,154.009615,0,0,.528347897,.606417556,L,L,Local Corporate- L,L / L,0,0,26,26,4004.25,556,563,87947.9,0,0,154.009615,158.179676,0,.528347897,.606417556
M,M,M,Government/Military - M,1,1,148,169,1447,1693,135,19667,199380.5,137.788874,132.885135,135,.386100386,3.00751880,1.57821260,M,M,Government/Military - M,M / M,1,135,148,169,19667,1447,1693,199380.5,1,135,132.885135,137.788874,.386100386,3.00751880,1.57821260
N,N,N,Complimentary - N,0,0,19,21,1367,1670,0,0,328.85,.240563277,0,0,0,.386100386,1.49095827,N,N,Complimentary - N,N / N,0,0,19,21,0,1367,1670,328.85,0,0,0,.240563277,0,.386100386,1.49095827
